Day,Month,Year,date,< 10,10-25,26 - 50,> 50
01,Jan,1852,01Jan1852,111,5,58,83
01,Feb,1852,01Feb1852,91,12,49,89
01,Mar,1852,01Mar1852,105,15,53,94
01,Apr,1852,01Apr1852,99,17,66,104
01,May,1852,01May1852,106,22,70,96
01,Jun,1852,01Jun1852,115,15,59,87
01,Jul,1852,01Jul1852,181,26,60,89
01,Aug,1852,01Aug1852,229,21,55,70
01,Sep,1852,01Sep1852,270,24,83,96
01,Oct,1852,01Oct1852,167,19,61,97
01,Nov,1852,01Nov1852,185,17,74,121
01,Dec,1852,01Dec1852,138,17,66,114
01,Jan,1853,01Jan1853,204,20,71,119
01,Feb,1853,01Feb1853,126,18,42,111
01,Mar,1853,01Mar1853,141,11,83,99
01,Apr,1853,01Apr1853,108,32,65,122
01,May,1853,01May1853,126,26,90,91
01,Jun,1853,01Jun1853,124,32,69,116
01,Jul,1853,01Jul1853,384,165,911,1308
01,Aug,1853,01Aug1853,288,88,371,535
01,Sep,1853,01Sep1853,105,22,69,86
01,Oct,1853,01Oct1853,86,20,51,65
01,Nov,1853,01Nov1853,115,15,39,63
01,Dec,1853,01Dec1853,93,14,39,75
01,Jan,1854,01Jan1854,104,11,49,75
01,Feb,1854,01Feb1854,64,20,50,60
01,Mar,1854,01Mar1854,106,16,64,78
01,Apr,1854,01Apr1854,124,17,55,77
01,May,1854,01May1854,119,28,63,64
01,Jun,1854,01Jun1854,135,16,63,64
01,Jul,1854,01Jul1854,162,26,71,65
01,Aug,1854,01Aug1854,152,16,54,51
01,Sep,1854,01Sep1854,121,23,46,60
01,Oct,1854,01Oct1854,114,14,50,71
01,Nov,1854,01Nov1854,114,22,54,70
01,Dec,1854,01Dec1854,116,25,45,99
