Day,Month,Year,Date,under_10,10-25,26-50,50+
01,Jan,1852,01Jan1852,119,22,45,124
01,Feb,1852,01Feb1852,107,18,54,97
01,Mar,1852,01Mar1852,94,16,64,123
01,Apr,1852,01Apr1852,88,11,52,110
01,May,1852,01May1852,141,20,46,88
01,Jun,1852,01Jun1852,102,19,45,82
01,Jul,1852,01Jul1852,132,23,43,85
01,Aug,1852,01Aug1852,185,26,47,84
01,Sep,1852,01Sep1852,193,25,57,91
01,Oct,1852,01Oct1852,123,23,60,109
01,Nov,1852,01Nov1852,120,29,49,123
01,Dec,1852,01Dec1852,131,22,51,119
01,Jan,1853,01Jan1853,145,18,42,122
01,Feb,1853,01Feb1853,162,23,50,104
01,Mar,1853,01Mar1853,137,14,52,108
01,Apr,1853,01Apr1853,120,22,53,121
01,May,1853,01May1853,142,21,68,112
01,Jun,1853,01Jun1853,123,24,55,111
01,Jul,1853,01Jul1853,126,31,86,121
01,Aug,1853,01Aug1853,242,78,306,341
01,Sep,1853,01Sep1853,157,34,130,180
01,Oct,1853,01Oct1853,104,26,59,97
01,Nov,1853,01Nov1853,94,23,49,101
01,Dec,1853,01Dec1853,109,18,45,109
01,Jan,1854,01Jan1854,114,19,49,95
01,Feb,1854,01Feb1854,101,16,50,84
01,Mar,1854,01Mar1854,96,23,47,103
01,Apr,1854,01Apr1854,93,24,44,107
01,May,1854,01May1854,105,24,64,99
01,Jun,1854,01Jun1854,112,27,48,79
01,Jul,1854,01Jul1854,109,19,64,80
01,Aug,1854,01Aug1854,141,24,58,79
01,Sep,1854,01Sep1854,135,21,51,84
01,Oct,1854,01Oct1854,127,20,51,76
01,Nov,1854,01Nov1854,122,14,59,120
01,Dec,1854,01Dec1854,134,25,53,104
