Year,month,date,cholera,diarrhea,all
1852,January,1852-01-01,0,1,268
1852,February,1852-02-01,0,1,251
1852,March,1852-03-01,0,1,299
1852,April,1852-04-01,0,0,286
1852,May,1852-05-01,0,1,311
1852,June,1852-06-01,0,0,281
1852,July,1852-07-01,3,6,372
1852,August,1852-08-01,7,24,402
1852,September,1852-09-01,3,40,477
1852,October,1852-10-01,0,10,387
1852,November,1852-11-01,0,2,413
1852,December,1852-12-01,0,4,364
1853,January,1853-01-01,0,6,414
1853,February,1853-02-01,0,4,328
1853,March,1853-03-01,0,5,358
1853,April,1853-04-01,0,2,346
1853,May,1853-05-01,1,1,344
1853,June,1853-06-01,42,4,343
1853,July,1853-07-01,3370,37,3827
1853,August,1853-08-01,1168,23,1490
1853,September,1853-09-01,76,2,323
1853,October,1853-10-01,6,3,234
1853,November,1853-11-01,0,2,257
1853,December,1853-12-01,0,2,249
1854,January,1854-01-01,1,1,240
1854,February,1854-02-01,1,0,203
1854,March,1854-03-01,0,1,281
1854,April,1854-04-01,0,1,280
1854,May,1854-05-01,0,5,289
1854,June,1854-06-01,1,2,308
1854,July,1854-07-01,14,14,329
1854,August,1854-08-01,11,11,287
1854,September,1854-09-01,5,4,282
1854,October,1854-10-01,2,5,255
1854,November,1854-11-01,0,1,276
1854,December,1854-12-01,0,2,294
