amt,parish_sogn,Cases,deaths,pop,index_case,notes
Amager,Tårnby,nr,244,4522,,
,Dragør,30,20,1728,15/7/1853,population for Dragør Kommune
,Hollænderby,0,nr,nr,,
,Ullerup,0,nr,nr,,
,Tommerup,0,nr,nr,,
291,Frb+Hvidovre sogne,112,69,4808,,
,Valby,0,nr,nr,,
,Brøndbyøster,36,14,486,21/7/1853,
,Herstedøster,1,0,505,29/7/1853,
,Herstedrester,9,4,900,3/8/1853,
,Glostrup,8,4,1066,unknown,
,Høietåstrup,3,2,1339,10/8/1853,
,Sengeløse,2,0,1305,,
,Taarbæk,65,47,780,28/7/1853,
297,"Jægersborg, Ordrup, Charlottenlund",22,15,nr,,
,Skovshoved,13,nr,nr,24/7/1853,
"p 297, 298",Lyngby,16,nr,3749,,
298,Vangede,13,nr,nr,,
298,Hjortespring,2,nr,nr,,
,Rådvad,8,nr,nr,4/7/1853,
,Bagsværd,2,nr,nr,,
,Vangede,3,nr,nr,,
,Brede,1,nr,1004,,
,Lundtoftegaard,1,nr,nr,,
,Nymølle,3,nr,nr,11/8/1853,
,Dronninggaard,1,nr,nr,,
,Skodsborg,nr,nr,nr,15/7/1853,
,Søllerød,nr,nr,nr,,
,Vedbæk,2,nr,nr,,
,Holte,5,nr,nr,,
,Øverrød,36,nr,180,,
,Nærum,1,nr,nr,,
301,Søllerød,1,nr,2705,,
301,"Gjentofte,Lyngby,Søllerød,Gladsaxe,Herlev",400,245,11700,,
,Ballerup,1,nr,nr,,
Frborg amt,Helsingør,34,27,8109,24/7/1853,
,Hillerød,15,14,1932,20/7/1853,
,Slangerup,1,0,1267,,
,Frederikssund,1,1,612,,
,Vexø,1,1,nr,,
,Asminderød sogn incl sørup,10,nr,1900,,
,Esbonderup,0,nr,nr,,
,Frederiksværk+asminderup,18,11,1230,,
,Holbæk,12,5,2638,,
,Kalundborg,0,nr,nr,,
,"Samsø, Thunø, Kyholm",nr,nr,nr,,
,Ringsted,19,10,1379,,
,Sorø,3,1,900,,
,Korsør,0,nr,na,,
,Næstved,2,nr,2744,,
,Vordingborg,4,nr,1576,,
,Præstø,4,2,950,,
,"Store Heddinge, Wallø, Vemmetofte",0,nr,na,,
,Møen,20,nr,nr,,
Bornholm&CHrØ amt,Rønne,nr,nr,nr,,
Bornholm&CHrØ amt,Svannike,15,9,1040,Jul-21,
Bornholm&CHrØ amt,Christiansø,23,10,363,8/14-9/1,
Lolland-Falster,Nykjøbing,154,60,2124,,
,Nysted,1,1,1091,Jul-15,
,Bandholm,nr,nr,nr,Jul-27,
,"Fejø, Femø",4,nr,702,,
Odense amt,Odense,16,12,11126,Jul-29,
,Odense amt uden odense,9,6,nr,,
Svendborg amt,Svendborg,194,84,4556,,
,resten af svendborg amt,nr,nr,nr,,
,Nyborg,26,17,3059,,
